,rec_name,tot_time_seconds,rec_source,rating
Chocolate-Fudge-Brownies-with-Whipped-Peanut-Butter-Frosting-475382,Chocolate Fudge Brownies with Whipped Peanut Butter Frosting,4200.0,Annie's Eats,0
Butterscotch-Brownies-I-Allrecipes,Butterscotch Brownies I,2700.0,AllRecipes,4
Pumpkin-Brownies-1341736,Pumpkin Brownies,3300.0,Center Cut Cook,4
Swirl-Brownies-Martha-Stewart,Swirl Brownies,4500.0,Martha Stewart,3
Chocolate-Brownies-1449942,Chocolate Brownies,1500.0,The banting cook,4
Healthy-Chocolate-Brownies-great-for-kids-lunchboxes-751046,Healthy Chocolate Brownies – great for kids lunchboxes,1200.0,Paging Fun Mums,4
Bourbon-Cream-Cheese-Brownies-490031,Bourbon Cream Cheese Brownies,4200.0,Bake or Break,4
Chocolate-Covered-Pretzel-Peanut-Butter-Brownies-757455,Chocolate Covered Pretzel Peanut Butter Brownies,5400.0,Sally's Baking Addiction,4
Strawberry-Brownie-Trifle-1077619,Strawberry Brownie Trifle,5400.0,Coffee With Us 3,4
Nutella-Swirl-Brownie-_-Sugar-Cookie-Tart-483347,Nutella Swirl Brownie & Sugar Cookie Tart,3600.0,Love and Olive Oil,4
Zucchini-Brownies-979662,Zucchini Brownies,2700.0,The Girl Who Ate Everything,4
3-Ingredient-Nutella-Brownies-1355843,3-Ingredient Nutella Brownies,2400.0,Something Swanky,4
Candy_bar_topped-Brownies-Epicurious,Candy-Bar-Topped Brownies,5100.0,Epicurious,4
Mint-Chocolate-Chip-Brownies-1525552,Mint Chocolate Chip Brownies,3300.0,Confessions of a Cookbook Queen,4
Chocolate-Covered-Strawberry-Brownies-_Paleo_-1618808,Chocolate Covered Strawberry Brownies (Paleo),2400.0,BigOven,3
Pumpkin-Brownies-AllRecipes,Pumpkin Brownies,3600.0,AllRecipes,5
Chocolate-Mousse-Brownies-or-Best-Brownies-EVER_-1252617,Chocolate Mousse Brownies or Best Brownies EVER!,4200.0,Peas and Peonies,4
Blue-Ribbon-Brownies-1493433,Blue Ribbon Brownies,3600.0,Margaret's Morsels,3
Brownie-Bits-Martha-Stewart,Brownie Bits,5400.0,Martha Stewart,5
Grant_s-Red-Velvet-Brownies-1055519,Grant's Red Velvet Brownies,2100.0,Rachael Ray Show,3
Peanut-Butter-Cookie-Red-Velvet-Brownies-981714,Peanut Butter Cookie Red Velvet Brownies,2100.0,Gal on a Mission,4
Fudgy-Black-Bean-Brownies-1212468,Fudgy Black Bean Brownies,600.0,Further Food,4
Banana-Nut-Brownies-1206561,Banana Nut Brownies,2700.0,RecipeTips-Now,4
Chocolate-Peanut-Butter-Brownies-761184,Chocolate Peanut Butter Brownies,2280.0,Lemons for Lulu,4
Pumpkin-Cheesecake-Brownies-1328532,Pumpkin Cheesecake Brownies,3900.0,"Oh, Sweet Basil",4
Peppermint-Bark-Brownies-1047214,Peppermint Bark Brownies,11100.0,Broma Bakery,4
Meltaway-Brownies-Allrecipes,Meltaway Brownies,3300.0,AllRecipes,3
Hot-Chocolate-_mug_-Brownie-1345282,Hot Chocolate {mug} Brownie,900.0,French Press,4
Brownie-Stuffed-Chocolate-Chip-Cookies-1041110,Brownie Stuffed Chocolate Chip Cookies,3000.0,"Dessert  Now, Dinner Later",4
Baking-Brownies-1175004,Baking Brownies,3300.0,Happy Mothering,4
Brownies-_using-Coconut-Flour_-1183454,Brownies {using Coconut Flour},2100.0,Comfy Belly,4
Chocolate-Chip-Brownie-Cookies-1497364,Chocolate Chip Brownie Cookies,900.0,Two Peas & Their Pod,4
Simple-Choc-Banana-Brownie-Cake-1689225,Simple Choc Banana Brownie Cake,3600.0,Eazy Peazy Mealz,4
Brownie-Hearts-Martha-Stewart,Brownie Hearts,3600.0,Martha Stewart,3
Pumpkin-Fudge-Brownies-1023997,Pumpkin Fudge Brownies,3900.0,Heather Christo,4
Jackies-Totally-Bodacious-Black-Bean-Brownies-1589392,Jackie’s Totally Bodacious Black Bean Brownies,2400.0,"Life, Liberty and the Pursuit of Food Happiness",4
Paleo-Brownie-Cookies-1190577,Paleo Brownie Cookies,1200.0,Home to Heather,4
Flourless-Apple-Brownies-1565646,Flourless Apple Brownies,2700.0,a trEATs affair,4
Peppermint-Mocha-Brownies-1418216,Peppermint Mocha Brownies,3600.0,Crazy For Crust,4
Triple-Chocolate-Espresso-Brownies-1112509,Triple Chocolate Espresso Brownies,3600.0,Delightful E Made,4
Triple-Layer-Brownies-1176532,Triple Layer Brownies,3600.0,Yesterfood,4
Gooey-Butterfinger-Brownie-Bars-1164293,Gooey Butterfinger Brownie Bars,2880.0,Inside BruCrew Life,4
Pecan-Pie-Brownies-493723,Pecan Pie Brownies,2700.0,Just a Taste,4
Apple-Brownies-1605402,Apple Brownies,3600.0,AllRecipes,4
Fudge-Brownies-Martha-Stewart-191099,Fudge Brownies,2100.0,Martha Stewart,5
Chunk-Brownies-1358784,Chunk Brownies,3600.0,Chocoley,4
Salted-Dulce-de-Leche-Brownies-998486,Salted Dulce de Leche Brownies,3000.0,Serious Eats,3
Made-From-Scratch-Brownies-1507267,Made From Scratch Brownies,1800.0,Little House Living,4
Pumpkin-Swirl-Brownies-780879,Pumpkin Swirl Brownies,3900.0,Take A Megabite,4
Samoas-Coconut-Caramel-Brownies-1513291,Samoas Coconut Caramel Brownies,4800.0,Just a Taste,4
Snickers-Brownies-1069009,Snickers Brownies,2400.0,This Mama Loves,4
Gluten-Free_-Sugar-Free-Brownies-1016189,"Gluten-Free, Sugar-Free Brownies",1500.0,Frugal Farm Wife,4
Salted-Rolo-brownies-with-banana-pecan-ice-cream-1632544,Salted Rolo brownies with banana-pecan ice cream,4200.0,Delicious Magazine,3
